name,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary
Aaron Gordon,PF,23,ORL,78,2633,15.1,0.5379999999999999,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.09300000000000001,0.3,0.3,0.6,1.7,"$21,590,909"
Eric Gordon,SG,30,HOU,68,2158,12.2,0.5489999999999999,0.64,0.162,0.9,6.9,3.8,9.4,0.9,1.1,8.2,22.0,1.7,1.0,2.6,0.059000000000000004,0.5,-1.8,-1.3,0.4,"$13,500,375"
Marcin Gortat,C,34,LAC,47,751,12.8,0.562,0.0,0.258,9.8,26.5,18.4,12.0,0.4,2.5,19.4,14.4,0.6,0.8,1.4,0.08900000000000001,-1.7,0.4,-1.3,0.1,"$13,565,218"
Treveon Graham,SG,25,BRK,35,715,6.1,0.45799999999999996,0.67,0.115,3.4,12.3,7.9,6.5,0.9,0.8,7.8,12.8,-0.1,0.6,0.5,0.033,-3.7,0.0,-3.7,-0.3,"$1,512,601"
Jerami Grant,PF,24,OKC,80,2612,13.8,0.5920000000000001,0.35600000000000004,0.26899999999999996,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4.0,3.3,7.3,0.134,-0.4,0.6,0.2,1.5,"$8,333,333"
Jerian Grant,PG,26,ORL,60,939,10.8,0.526,0.5,0.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,0.5,1.1,1.7,0.085,-2.9,1.3,-1.6,0.1,"$2,639,313"
Donte Grantham,SF,23,OKC,3,2,-38.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-0.946,-23.6,-14.0,-37.6,0.0,"$77,250"
Danny Green,SG,31,TOR,80,2216,13.0,0.632,0.69,0.07,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,3.0,2.9,5.9,0.128,1.1,0.8,2.0,2.2,"$10,000,000"
Draymond Green,PF,28,GSW,66,2065,12.9,0.526,0.391,0.21600000000000003,3.2,20.8,12.4,26.8,2.2,2.8,26.8,13.1,1.1,3.2,4.3,0.1,-1.3,2.7,1.4,1.8,"$17,469,565"
Gerald Green,SG,33,HOU,73,1473,11.4,0.555,0.763,0.11800000000000001,2.2,11.7,6.8,4.1,1.1,1.6,8.3,19.5,0.9,1.0,1.9,0.061,-0.2,-1.5,-1.7,0.1,"$1,512,601"
JaMychal Green,PF,28,TOT,65,1371,14.7,0.5870000000000001,0.37,0.212,8.3,24.3,16.4,5.8,1.6,2.3,14.3,19.4,0.9,1.9,2.9,0.10099999999999999,-1.3,-0.4,-1.7,0.1,"$8,066,667"
